A220-100,115.157484,1208.7871,128148.5,46600,41010.50,no
A319neo,117.454072,1323.96,150999.01,44000,39698.16,no
A320neo,117.454072,1323.96,157998.69,54000,39698.16,no
A321,111.8438356,1323.96,182983.68,64000,39698.16,no
A321neo,117.454072,1323.96,203920,64000,39698.16,no
A330-800neo,209.97376,1323.96,553360.28,145668,42651,no
A330-900neo,209.97376,1323.96,533518.67,145668,39698.16,no
A350-900,212.43439,4768,617294,168400,43000,no
A350-1000,212.43439,4768,679010.54,194000,43000,no
A380,261.811032,9095.5,1234588.67,280000,49212.60,no
737Max-7,117.782156,1367.02,181931,58634,39370.08,no
747-8,224.73754,5963,977999.26,266000,43000,no
777,235.40027,5024.5934,774924.85,210000,42650.92,no
787-8,196.8504,3501,480003.67,119200,43000,no
787-10,196.8504,3501,558000.11,152000,43000,yes
